Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,267.839996,268.809998,267.399994,268.769989,262.603241,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,264.264221,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,265.378052,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,267.146545,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,267.635071,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,268.240875,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,267.830475,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,269.784576,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,271.543304,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,270.615112,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,273.194489,109354500
2018-01-18,279.480011,279.959991,278.579987,279.140015,272.735321,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,273.976166,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,276.203827,91322400
2018-01-23,282.739990,283.619995,282.369995,283.290009,276.790100,97084700
2018-01-24,284.019989,284.700012,281.839996,283.179993,276.682617,134816100
2018-01-25,284.160004,284.269989,282.399994,283.299988,276.799805,84587300
2018-01-26,284.250000,286.630005,283.959991,286.579987,280.004608,107743100
2018-01-29,285.929993,286.429993,284.500000,284.679993,278.148163,90118300
2018-01-30,282.600006,284.739990,281.220001,281.760010,275.295197,131796400
2018-01-31,282.730011,283.299988,280.679993,281.899994,275.432007,108364800
2018-02-01,281.070007,283.059998,280.679993,281.579987,275.119324,90102500
2018-02-02,280.079987,280.230011,275.410004,275.450012,269.130005,173174800
2018-02-05,273.450012,275.850006,263.309998,263.929993,257.874268,294681800
2018-02-06,259.940002,269.700012,258.700012,269.130005,262.954987,355026800
2018-02-07,268.500000,272.359985,267.579987,267.670013,261.528473,167376100
2018-02-08,268.010010,268.170013,257.589996,257.630005,251.718857,246449500
2018-02-09,260.799988,263.609985,252.919998,261.500000,255.500046,283565300
2018-02-12,263.829987,267.010010,261.660004,265.339996,259.251923,143736000
2018-02-13,263.970001,266.619995,263.309998,266.000000,259.896820,81223600
2018-02-14,264.309998,270.000000,264.299988,269.589996,263.404419,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,266.765472,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,266.843628,160420100
2018-02-20,272.029999,273.670013,270.500000,271.399994,265.172852,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,263.853851,98883700
2018-02-22,271.100006,273.049988,269.640015,270.399994,264.195831,110511300
2018-02-23,271.790009,274.709991,271.250000,274.709991,268.406952,92766400
